x,custom,boost,derivation
-8.0680000000,0.1553796181,0.1553796181,0.2437338448
-8.0670000000,0.1556232891,0.1556232891,0.2436085465
-8.0660000000,0.1558668347,0.1558668347,0.2434829929
-8.0650000000,0.1561102546,0.1561102546,0.2433571840
-8.0640000000,0.1563535485,0.1563535485,0.2432311198
-8.0630000000,0.1565967163,0.1565967163,0.2431048005
-8.0620000000,0.1568397577,0.1568397577,0.2429782261
-8.0610000000,0.1570826723,0.1570826723,0.2428513968
-8.0600000000,0.1573254600,0.1573254600,0.2427243126
-8.0590000000,0.1575681204,0.1575681204,0.2425969737
-8.0580000000,0.1578106534,0.1578106534,0.2424693800
-8.0570000000,0.1580530587,0.1580530587,0.2423415318
-8.0560000000,0.1582953360,0.1582953360,0.2422134292
-8.0550000000,0.1585374851,0.1585374851,0.2420850721
-8.0540000000,0.1587795057,0.1587795057,0.2419564607
-8.0530000000,0.1590213975,0.1590213975,0.2418275951
-8.0520000000,0.1592631604,0.1592631604,0.2416984754
-8.0510000000,0.1595047940,0.1595047940,0.2415691017
-8.0500000000,0.1597462981,0.1597462981,0.2414394740
-8.0490000000,0.1599876725,0.1599876725,0.2413095925
-8.0480000000,0.1602289168,0.1602289168,0.2411794573
-8.0470000000,0.1604700309,0.1604700309,0.2410490685
-8.0460000000,0.1607110145,0.1607110145,0.2409184261
-8.0450000000,0.1609518673,0.1609518673,0.2407875302
-8.0440000000,0.1611925891,0.1611925891,0.2406563810
-8.0430000000,0.1614331796,0.1614331796,0.2405249786
-8.0420000000,0.1616736386,0.1616736386,0.2403933230
-8.0410000000,0.1619139658,0.1619139658,0.2402614143
-8.0400000000,0.1621541610,0.1621541610,0.2401292527
-8.0390000000,0.1623942239,0.1623942239,0.2399968382
-8.0380000000,0.1626341542,0.1626341542,0.2398641709
-8.0370000000,0.1628739517,0.1628739517,0.2397312510
-8.0360000000,0.1631136162,0.1631136162,0.2395980785
-8.0350000000,0.1633531474,0.1633531474,0.2394646535
-8.0340000000,0.1635925451,0.1635925451,0.2393309762
-8.0330000000,0.1638318090,0.1638318090,0.2391970466
-8.0320000000,0.1640709387,0.1640709387,0.2390628648
-8.0310000000,0.1643099342,0.1643099342,0.2389284309
-8.0300000000,0.1645487952,0.1645487952,0.2387937451
-8.0290000000,0.1647875213,0.1647875213,0.2386588073
-8.0280000000,0.1650261123,0.1650261123,0.2385236178
-8.0270000000,0.1652645681,0.1652645681,0.2383881767
-8.0260000000,0.1655028883,0.1655028883,0.2382524839
-8.0250000000,0.1657410726,0.1657410726,0.2381165397
-8.0240000000,0.1659791209,0.1659791209,0.2379803441
-8.0230000000,0.1662170329,0.1662170329,0.2378438972
-8.0220000000,0.1664548083,0.1664548083,0.2377071992
-8.0210000000,0.1666924468,0.1666924468,0.2375702501
-8.0200000000,0.1669299483,0.1669299483,0.2374330500
-8.0190000000,0.1671673125,0.1671673125,0.2372955991
-8.0180000000,0.1674045391,0.1674045391,0.2371578974
-8.0170000000,0.1676416279,0.1676416279,0.2370199451
-8.0160000000,0.1678785786,0.1678785786,0.2368817422
-8.0150000000,0.1681153909,0.1681153909,0.2367432888
-8.0140000000,0.1683520647,0.1683520647,0.2366045851
-8.0130000000,0.1685885997,0.1685885997,0.2364656312
-8.0120000000,0.1688249956,0.1688249956,0.2363264272
-8.0110000000,0.1690612521,0.1690612521,0.2361869731
-8.0100000000,0.1692973691,0.1692973691,0.2360472690
-8.0090000000,0.1695333463,0.1695333463,0.2359073152
-8.0080000000,0.1697691833,0.1697691833,0.2357671116
-8.0070000000,0.1700048801,0.1700048801,0.2356266584
